filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spec_cent_mean,spec_cent_var,spec_bw_mean,spec_bw_var,rolloff_mean,rolloff_var,zcr_mean,zcr_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
blues.00000.wav,30,0.34995052,0.08875216,0.130192,0.0028303715,1784.4165456667672,129739.8374013534,2002.6571062203575,85829.34590770825,3806.4186497738488,901329.6602966429,0.08306639113293343,0.0007667342953635373,0.54999304,6.1180773,0.6118236,4.150613,123.046875,-113.619385,2570.8127,121.55302,295.7244,-19.151056,235.57982,42.345768,150.83536,-6.3711677,168.02464,18.613033,89.169586,-13.69206,67.60479,15.339378,69.06307,-12.283618,82.1525,10.973776,63.40047,-8.32241,61.810535,8.8067875,51.292,-3.6658018,41.25163,5.745939,40.56098,-5.161711,49.8235,0.7502978,52.46414,-1.688358,36.564606,-0.40932855,41.643627,-2.298869,55.076675,1.2199471,46.975636,blues
blues.00001.wav,30,0.3409451,0.09496806,0.095891684,0.0023740323,1529.8713139905356,376011.6501008,2038.6121426557384,213889.87384310752,3548.9868730952494,2976792.419586478,0.056044256724071206,0.0014485033470784323,0.32964507,3.9026349,0.3455996,2.3415966,107.666015625,-207.58151,7770.7725,123.99715,560.163,8.939115,572.7001,35.870758,264.85532,2.9199703,280.0475,21.518787,156.47044,-8.555368,200.96965,23.355938,142.37248,-10.101037,166.23213,11.906445,104.358574,-5.5581226,105.223694,5.375942,96.29922,-2.2378328,64.90086,4.217125,73.177956,-6.0110474,52.484993,0.93266803,55.364296,-0.7170279,60.113293,0.29233333,48.13774,-0.28571686,51.131218,0.53214425,45.823235,blues
blues.00002.wav,30,0.36356187,0.085277244,0.17549369,0.0027525949,1552.637786241024,156538.29470869634,1747.3820283592036,76150.68877843286,3041.0899442784926,782946.5225498029,0.07630074799245357,0.0010072891555751452,0.7994551,12.152825,0.7761549,5.374288,161.4990234375,-90.776344,3319.7935,140.44861,509.11203,-29.10056,411.987,31.68734,144.14766,-13.975971,156.0156,25.741686,74.46932,-13.644712,106.68324,11.623112,106.62771,-11.77592,65.68541,9.700466,67.84548,-13.115349,57.646435,5.785763,64.60154,-8.899733,60.47645,-1.0870239,57.74447,-9.216774,36.467384,2.4536483,40.620197,-7.721793,47.700275,-1.8164973,52.418175,-3.4343534,46.630066,-2.2313912,30.626228,blues
blues.00003.wav,30,0.40484834,0.09401797,0.14113921,0.006339857,1070.1100590065275,184506.6554212823,1596.2442043857204,166637.56843817822,2185.0617872303114,1494194.063112875,0.03330894446594427,0.0004230743810646026,0.4060882,14.592569,0.33322915,2.101797,172.265625,-199.462,5495.972,150.09474,456.56665,5.649167,257.0472,26.870144,158.19778,1.7554406,267.90213,14.236881,126.88234,-4.8288727,156.06218,9.297849,81.17086,-0.7531419,92.36192,8.147393,71.22306,-3.1952357,110.32543,6.085354,48.18353,-2.4761884,56.813396,-1.0762247,62.254208,-2.8760564,51.64638,0.7769087,44.456993,-3.3200555,50.23697,0.6372627,37.351917,-0.6175069,37.291164,-3.40694,31.988438,blues
blues.00004.wav,30,0.30859816,0.08785043,0.0915404,0.0023050553,1835.507008508757,343334.2370413527,1748.3674768917701,88460.06122800862,3581.003346162684,1572132.8216511165,0.1015001421004257,0.001953508818485157,0.4122552,3.6132307,0.45874858,2.2515454,135.99917763157896,-160.29185,5198.1445,126.19576,853.7379,-35.6025,333.71176,22.151169,193.67331,-32.48764,336.45108,10.862022,134.79674,-23.357162,93.30083,0.500523,124.76149,-11.80477,129.98872,1.2038774,99.795204,-13.085074,80.303085,-2.8098488,86.49203,-6.935621,89.61349,-7.5592937,70.93246,-9.172152,75.76922,-4.5104084,86.01278,-5.4537363,75.328186,-0.92446774,53.577564,-4.408076,62.92852,-11.701833,55.215115,blues
blues.00005.wav,30,0.30241403,0.087562,0.10343772,0.0039837337,1831.9900686058324,1031295.6028489613,1729.4562590216863,201999.80825926352,3480.8539517523704,3276452.4461247083,0.09403986975135449,0.006237169845177415,0.4773362,6.0970345,0.42699686,2.427981,112.34714673913044,-177.88876,7303.5063,118.18953,3197.6096,-17.55073,654.1477,30.753101,485.98712,-21.732107,433.48105,11.898545,266.0905,-20.732279,169.8476,3.176169,133.68483,-8.575771,172.3315,-0.9401843,100.12965,-11.773799,76.596054,-2.426076,78.50408,-9.342486,80.13264,-9.947082,47.553093,-3.9053469,60.05134,-5.5685406,72.58189,-1.8399693,68.71983,-2.7841752,42.466663,-3.0461123,39.829174,-8.115227,46.29248,blues
blues.00006.wav,30,0.29140565,0.09400271,0.1416879,0.008782834,1459.0353759867005,438118.0313948354,1388.7255154666873,185132.01316567737,2795.67476160386,1622690.8513254016,0.07302790308146284,0.0019095948180740175,0.5501295,12.88176,0.49827635,4.539152,123.046875,-190.17502,9646.426,130.29242,1934.4312,-36.348473,1307.6438,33.02909,480.32092,11.085681,1083.5884,-0.5963727,280.22363,-20.882357,151.68828,0.2771159,102.89618,-6.5008707,131.14716,-5.5156236,153.48946,-7.8452888,87.57829,-3.123599,64.22462,-6.595715,79.16398,-9.947578,63.074352,-6.540925,86.41678,-10.07138,83.32279,-10.912118,56.9377,-6.970003,38.267597,-3.4485128,48.093582,-6.498458,70.01958,blues
blues.00007.wav,30,0.30731454,0.09284914,0.13174523,0.0055352026,1451.849458195484,449937.6623600597,1577.5518581340878,168258.25613475151,2955.7654602239745,1630564.829502154,0.06143500266060371,0.001850010001473945,0.5146833,10.046171,0.46291092,3.684357,92.28515625,-179.42007,6575.454,136.4421,1479.9728,-26.644339,590.9773,39.97959,353.15918,5.301814,650.4475,10.921237,136.36313,-20.555347,163.70146,8.507477,151.47868,-11.35436,172.02489,-3.469098,178.41544,-8.414114,147.66684,-6.956977,83.777534,-3.5483484,93.33137,-8.051683,57.466633,-8.9604845,82.29772,-8.421077,70.477,-10.5585985,52.032326,-10.790192,60.5192,-4.7007947,65.58995,-8.638816,56.33534,blues
blues.00008.wav,30,0.40899816,0.086519666,0.14236063,0.0015028988,1719.2739373585318,163389.65313279652,2031.687343951792,105613.204277238,3781.5188003398316,1262995.5252842957,0.06402757957623839,0.0007318890633277895,0.590027,9.596656,0.5477233,2.5494998,83.35433467741936,-121.387115,2621.6409,122.505394,414.7292,-14.739392,341.39172,46.135292,193.81631,-8.160384,176.7232,20.17051,106.99097,-19.169321,57.671753,23.050188,76.91382,-11.825939,42.48063,21.173412,58.43121,-6.7202907,48.960136,7.0050187,56.24636,-12.739911,61.89646,5.064209,50.54634,-5.173075,32.82994,-1.4469951,50.560787,-7.0369287,28.892342,2.6948745,36.931473,3.4093323,33.72412,-2.6991909,36.09725,blues
blues.00009.wav,30,0.27401423,0.092326544,0.08132098,0.004347414,1817.5295466580835,298256.5306513026,1973.6903092643122,114209.09379289631,3944.584480970637,1367139.0996854836,0.0792153184258901,0.001376557806953003,0.34014612,5.4923477,0.27606672,1.277449,129.19921875,-213.20453,6133.131,115.15454,798.75323,-11.720503,668.95465,39.032555,350.82483,-20.357819,532.30133,13.089926,278.3857,-9.180816,126.545364,9.023639,67.952324,-14.101025,110.16603,4.283337,92.49027,-6.0441957,84.86531,3.786368,104.494316,0.22368734,76.40331,-5.114481,85.41577,-0.4145369,104.04173,-1.1848985,59.331196,-1.9183393,58.489876,-2.2957962,83.17791,2.89123,77.03899,-4.2345333,91.51975,blues
